Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 13:07:34,-1,73,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,56,53.23941,56.60559,0,2,
12/01/2024 13:07:38,-1,74,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,25.53633,44.73184,0,0,
12/01/2024 13:07:42,-1,74,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,21.30951,34.86888,0,1,
12/01/2024 13:07:45,-1,75,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-39.74349,-26.52349,0,0,
12/01/2024 13:07:48,-1,75,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,-32,-50.23278,-30.47577,0,1,
12/01/2024 13:07:51,-1,76,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,-56,46.44693,-48.00584,0,0,
12/01/2024 13:07:55,-1,76,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,-56,49.67388,-57.75782,0,1,
12/01/2024 13:07:59,-1,77,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,56,67.55224,60.93046,0,0,
12/01/2024 13:08:02,-1,77,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,56,117.474,53.17698,0,1,
12/01/2024 13:08:06,-1,77,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,56,134.4182,51.98564,0,2,
12/01/2024 13:08:10,-1,78,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-60.01348,47.00857,0,0,
12/01/2024 13:08:14,-1,78,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-59.34734,37.80414,0,1,
12/01/2024 13:08:17,-1,78,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,306,32,-53.86103,28.01024,0,2,
12/01/2024 13:08:21,-1,79,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,-56,-62.09983,-44.82187,0,0,
